Year,Average Rainfall,Max Rainfall,Min Rainfall,Std Dev,Variability Index
2006,423.57797456009297,666.0,0.0,28.779141002540804,6.794295910317194
2007,323.058604125166,744.0,0.0,22.117504941181817,6.846282581166789
2008,315.6808339558433,570.0,0.0,21.827332510569693,6.914367349150773
2009,321.9798877407039,563.0,0.0,22.145795958665378,6.878005987908097
2010,251.96812749003985,332.0,0.0,16.538656759356407,6.563789207827554
2011,303.27244148406373,624.0,0.0,22.573514588206756,7.443312184167891
2012,306.8903344953519,444.0,0.0,20.209558535380893,6.5852704578048495
2013,367.54566110557766,807.0,0.0,25.1116314172383,6.832248091761577
2014,354.7430071381142,577.0,0.0,23.616250463507356,6.657284284200901
2015,315.0264099850598,585.0,0.0,20.86376497864517,6.62286218467672
2016,385.31122385458167,567.0,0.0,23.508487430025458,6.101168607249726
2017,310.02420526228417,717.0,0.0,20.9425070995471,6.755120001623579
2018,353.5426989956839,482.0,0.0,23.273722223944283,6.583001795839209
2019,365.640547186255,771.0,0.0,26.437249706023753,7.2303933219301255
2020,347.65494272908364,467.0,0.0,23.22195615072007,6.679599020922362
2021,308.49560092961485,454.0,0.0,20.40949371078743,6.615813531630871
2022,443.3695219123506,690.0,0.0,28.51987736558057,6.432529967907592
2023,247.11920546978752,581.0,0.0,18.03420094916852,7.297773928531572
2024,291.76116367861886,610.0,0.0,21.32898879916656,7.310427656047086
2025,294.4410534943559,589.0,0.0,20.355395756927532,6.913232891729794
2026,339.16146870849934,668.0,0.0,23.321125575787963,6.8761129218460475
2027,435.29733150730414,792.0,0.0,27.55846810292802,6.3309526864089225
2028,275.73997758964146,571.0,0.0,20.363160268418426,7.384914021688596
2029,293.22321132138114,570.0,0.0,21.008760841329476,7.164767327475745
2030,388.2425713811421,610.0,0.0,26.4369267049669,6.809383785739836
2031,384.47606967961485,459.0,0.0,22.991194815221885,5.97987667590873
2032,397.7648468625498,754.0,0.0,26.485667753185187,6.6586245521936425
2033,368.06889628984067,586.0,0.0,25.24091333965177,6.8576599636866575
